Account Description,Debit Amount,Credit Amount,Donors,date
Home Pickup and Community Works Donors,92.00000,0.00000,92.00,
Home Pickup and Community Works Donors,143.00000,0.00000,143.00,
Home Pickup and Community Works Donors,142.00000,0.00000,142.00,
Home Pickup and Community Works Donors,57.00000,0.00000,57.00,
Home Pickup and Community Works Donors,106.00000,0.00000,106.00,
Home Pickup and Community Works Donors,121.00000,0.00000,121.00,
Home Pickup and Community Works Donors,101.00000,0.00000,101.00,
Home Pickup and Community Works Donors,133.00000,0.00000,133.00,
Home Pickup and Community Works Donors,13.00000,0.00000,13.00,
Home Pickup and Community Works Donors,77.00000,0.00000,77.00,
Home Pickup and Community Works Donors,67.00000,0.00000,67.00,
Home Pickup and Community Works Donors,86.00000,0.00000,86.00,
Home Pickup and Community Works Donors,86.00000,0.00000,86.00,
Home Pickup and Community Works Donors,95.00000,0.00000,95.00,
Home Pickup and Community Works Donors,41.00000,0.00000,41.00,
Home Pickup and Community Works Donors,79.00000,0.00000,79.00,
Home Pickup and Community Works Donors,78.00000,0.00000,78.00,
Home Pickup and Community Works Donors,73.00000,0.00000,73.00,
Home Pickup and Community Works Donors,59.00000,0.00000,59.00,
Home Pickup and Community Works Donors,116.00000,0.00000,116.00,
Home Pickup and Community Works Donors,98.00000,0.00000,98.00,
Home Pickup and Community Works Donors,70.00000,0.00000,70.00,
Home Pickup and Community Works Donors,70.00000,0.00000,70.00,
Home Pickup and Community Works Donors,70.00000,0.00000,70.00,
Home Pickup and Community Works Donors,80.00000,0.00000,80.00,
Home Pickup and Community Works Donors,67.00000,0.00000,67.00,
Home Pickup and Community Works Donors,66.00000,0.00000,66.00,
Home Pickup and Community Works Donors,75.00000,0.00000,75.00,
Home Pickup and Community Works Donors,70.00000,0.00000,70.00,
Home Pickup and Community Works Donors,77.00000,0.00000,77.00,
Home Pickup and Community Works Donors,63.00000,0.00000,63.00,
Home Pickup and Community Works Donors,59.00000,0.00000,59.00,
FRM Donors,"3,682.00000",0.00000,"3,682.00",2023-04-01
LL Donors,615.00000,0.00000,615.00,
CER Donors,"3,690.00000",0.00000,"3,690.00",2020-02-01
CC Donors,"3,691.00000",0.00000,"3,691.00",2024-05-01
SM Donors,"3,719.00000",0.00000,"3,719.00",2020-05-01
CC Donors,"3,734.00000",0.00000,"3,734.00",2019-05-01
CC Donors,"3,735.00000",0.00000,"3,735.00",2021-09-01
CC Donors,"3,740.00000",0.00000,"3,740.00",2020-09-01
SM Donors,"3,749.00000",0.00000,"3,749.00",2024-04-01
RR Donors,"3,751.00000",0.00000,"3,751.00",2023-05-01
FRM Donors,"3,754.00000",0.00000,"3,754.00",2021-06-01
MNL Donors,"3,754.00000",0.00000,"3,754.00",2023-10-01
CC Donors,"3,755.00000",0.00000,"3,755.00",2024-01-01
LL Donors,638.00000,0.00000,638.00,
LL Donors,530.00000,0.00000,530.00,
MNL Donors,"3,758.00000",0.00000,"3,758.00",2021-09-01
FRM Donors,"3,768.00000",0.00000,"3,768.00",2020-07-01
PDN Donors,"3,780.00000",0.00000,"3,780.00",2022-09-01
PDN Donors,"3,783.00000",0.00000,"3,783.00",2019-03-01
MNL Donors,"3,948.00000",163.00000,"3,785.00",2021-10-01
CC Donors,"3,792.00000",0.00000,"3,792.00",2022-03-01
LL Donors,511.00000,0.00000,511.00,
PDN Donors,"3,799.00000",0.00000,"3,799.00",2024-03-01
SM Donors,"3,801.00000",0.00000,"3,801.00",2020-12-01
PDN Donors,"3,806.00000",0.00000,"3,806.00",2022-08-01
FRM Donors,"3,814.00000",0.00000,"3,814.00",2023-10-01
SM Donors,"3,822.00000",0.00000,"3,822.00",2022-04-01
RR Donors,"3,835.00000",0.00000,"3,835.00",2019-06-01
MNL Donors,"3,839.00000",0.00000,"3,839.00",2021-08-01
SM Donors,"3,852.00000",0.00000,"3,852.00",2022-12-01
PDN Donors,"3,855.00000",0.00000,"3,855.00",2021-12-01
SM Donors,"3,859.00000",0.00000,"3,859.00",2023-09-01
CC Donors,"3,876.00000",0.00000,"3,876.00",2019-03-01
PDN Donors,"3,879.00000",0.00000,"3,879.00",2023-09-01
MNL Donors,"3,880.00000",0.00000,"3,880.00",2023-03-01
CER Donors,"3,884.00000",0.00000,"3,884.00",2020-01-01
FRM Donors,"3,885.00000",0.00000,"3,885.00",2024-02-01
MNL Donors,"3,887.00000",0.00000,"3,887.00",2020-07-01
FRM Donors,"3,894.00000",0.00000,"3,894.00",2022-05-01
CC Donors,"3,901.00000",0.00000,"3,901.00",2020-10-01
FRM Donors,"3,901.00000",0.00000,"3,901.00",2022-11-01
SM Donors,"3,902.00000",0.00000,"3,902.00",2024-01-01
FRM Donors,"3,902.00000",0.00000,"3,902.00",2022-08-01
SM Donors,"3,924.00000",0.00000,"3,924.00",2023-02-01
CER Donors,"3,924.00000",0.00000,"3,924.00",2020-05-01
PDN Donors,"3,938.00000",0.00000,"3,938.00",2020-02-01
PDN Donors,"3,942.00000",0.00000,"3,942.00",2021-04-01
SM Donors,"3,946.00000",0.00000,"3,946.00",2022-11-01
RR Donors,"3,956.00000",0.00000,"3,956.00",2019-08-01
RR Donors,"3,960.00000",0.00000,"3,960.00",2021-01-01
PDN Donors,"3,964.00000",0.00000,"3,964.00",2024-04-01
RR Donors,"3,969.00000",0.00000,"3,969.00",2023-07-01
MNL Donors,"3,973.00000",0.00000,"3,973.00",2023-02-01
CC Donors,"3,980.00000",0.00000,"3,980.00",2021-06-01
MNL Donors,"3,983.00000",0.00000,"3,983.00",2023-01-01
SM Donors,"3,990.00000",0.00000,"3,990.00",2021-02-01
RR Donors,"3,994.00000",0.00000,"3,994.00",2020-09-01
MNL Donors,"3,995.00000",0.00000,"3,995.00",2021-07-01
FRM Donors,"3,996.00000",0.00000,"3,996.00",2021-07-01
Espanola Donors,523.00000,0.00000,523.00,
Espanola Donors,387.00000,0.00000,387.00,
Espanola Donors,555.00000,0.00000,555.00,
Espanola Donors,617.00000,0.00000,617.00,
Espanola Donors,586.00000,0.00000,586.00,
SM Donors,"4,000.00000",0.00000,"4,000.00",2024-05-01
Espanola Donors,586.00000,0.00000,586.00,
Espanola Donors,434.00000,0.00000,434.00,
FRM Donors,"4,018.00000",0.00000,"4,018.00",2023-01-01
Espanola Donors,668.00000,0.00000,668.00,
Espanola Donors,726.00000,0.00000,726.00,
Espanola Donors,692.00000,0.00000,692.00,
PDN Donors,"4,018.00000",0.00000,"4,018.00",2023-10-01
FRM Donors,"4,024.00000",0.00000,"4,024.00",2024-05-01
SM Donors,"4,026.00000",0.00000,"4,026.00",2023-10-01
PDN Donors,"4,032.00000",0.00000,"4,032.00",2021-08-01
Espanola Donors,710.00000,0.00000,710.00,
CC Donors,"4,033.00000",0.00000,"4,033.00",2021-01-01
SM Donors,"4,037.00000",0.00000,"4,037.00",2019-04-01
Espanola Donors,719.00000,0.00000,719.00,
MNL Donors,"4,045.00000",0.00000,"4,045.00",2019-07-01
FRM Donors,"4,051.00000",0.00000,"4,051.00",2023-09-01
FRM Donors,"4,061.00000",0.00000,"4,061.00",2022-10-01
CC Donors,"4,205.00000",136.00000,"4,069.00",2021-10-01
FRM Donors,"4,089.00000",0.00000,"4,089.00",2022-09-01
PDN Donors,"4,091.00000",0.00000,"4,091.00",2021-06-01
PDN Donors,"4,094.00000",0.00000,"4,094.00",2022-03-01
PDN Donors,"4,096.00000",0.00000,"4,096.00",2024-02-01
PDN Donors,"4,099.00000",0.00000,"4,099.00",2023-11-01
PDN Donors,"4,102.00000",0.00000,"4,102.00",2022-10-01
Lomas Donors,4.00000,0.00000,4.00,
SM Donors,"4,106.00000",0.00000,"4,106.00",2023-01-01
CC Donors,"4,108.00000",0.00000,"4,108.00",2020-08-01
FRM Donors,"4,110.00000",0.00000,"4,110.00",2022-12-01
MNL Donors,"4,142.00000",0.00000,"4,142.00",2021-11-01
RR Donors,"4,144.00000",0.00000,"4,144.00",2020-08-01
